episode,win_rate,loss_rate,draw_rate,avg_reward,avg_loss
500,0.5480,0.4520,0.0000,-0.5833,0.577336
1000,0.5620,0.4360,0.0020,-0.6943,0.712801
1500,0.5720,0.4280,0.0000,-0.5068,0.697946
2000,0.5600,0.4380,0.0020,-0.6950,0.680638
2500,0.5540,0.4460,0.0000,-0.7514,0.665189
3000,0.5820,0.4180,0.0000,-0.4138,0.650079
3500,0.5680,0.4320,0.0000,-0.5819,0.636398
4000,0.5940,0.4060,0.0000,-0.2316,0.617372
4500,0.5620,0.4380,0.0000,-0.6492,0.593472
5000,0.6240,0.3740,0.0020,-0.0669,0.569925
5500,0.5760,0.4220,0.0020,-0.3010,0.545070
6000,0.6420,0.3580,0.0000,0.0189,0.526569
6500,0.5880,0.4120,0.0000,-0.2291,0.509031
7000,0.6320,0.3660,0.0020,0.1109,0.491243
7500,0.6400,0.3600,0.0000,0.2959,0.469265
8000,0.5940,0.4060,0.0000,-0.1895,0.448535
8500,0.6100,0.3900,0.0000,0.0440,0.432481
9000,0.6240,0.3760,0.0000,0.2016,0.414886
9500,0.6640,0.3360,0.0000,0.6115,0.401195
10000,0.6680,0.3320,0.0000,0.6303,0.377473
10500,0.6560,0.3400,0.0040,0.6179,0.361474
11000,0.6500,0.3500,0.0000,0.5355,0.348270
11500,0.6880,0.3120,0.0000,0.7946,0.337052
12000,0.6820,0.3160,0.0020,0.7355,0.317867
12500,0.6600,0.3400,0.0000,0.6494,0.305476
13000,0.6700,0.3300,0.0000,0.7567,0.290730
13500,0.6640,0.3360,0.0000,0.5437,0.283110
14000,0.6940,0.3060,0.0000,1.0164,0.269768
14500,0.6740,0.3260,0.0000,0.7401,0.258560
15000,0.7060,0.2940,0.0000,1.1895,0.244331
15500,0.7180,0.2820,0.0000,1.2526,0.233355
16000,0.6940,0.3060,0.0000,1.0256,0.221159
16500,0.6840,0.3160,0.0000,0.9760,0.209358
17000,0.7200,0.2800,0.0000,1.3132,0.199288
17500,0.6860,0.3140,0.0000,0.9333,0.190374
18000,0.6920,0.3080,0.0000,1.0795,0.178981
18500,0.6980,0.3020,0.0000,1.0486,0.172771
19000,0.7200,0.2800,0.0000,1.3924,0.166570
19500,0.7160,0.2820,0.0020,1.3539,0.156541
20000,0.7020,0.2980,0.0000,1.2246,0.149585
20500,0.7460,0.2540,0.0000,1.7365,0.142896
21000,0.7340,0.2660,0.0000,1.5988,0.136810
21500,0.7480,0.2520,0.0000,1.7326,0.127560
22000,0.7280,0.2720,0.0000,1.4592,0.122802
22500,0.7400,0.2600,0.0000,1.5890,0.117613
23000,0.7520,0.2480,0.0000,1.8029,0.111805
23500,0.7480,0.2520,0.0000,1.6291,0.106689
24000,0.7640,0.2360,0.0000,1.8959,0.100399
24500,0.7300,0.2700,0.0000,1.5712,0.095079
25000,0.7380,0.2620,0.0000,1.6103,0.091252
25500,0.7900,0.2100,0.0000,2.2169,0.086349
26000,0.8100,0.1900,0.0000,2.4884,0.079655
26500,0.7920,0.2080,0.0000,2.2942,0.075097
27000,0.7560,0.2440,0.0000,1.8233,0.071307
27500,0.7840,0.2160,0.0000,2.0767,0.071320
28000,0.7940,0.2060,0.0000,2.3759,0.069463
28500,0.8260,0.1740,0.0000,2.6920,0.068453
29000,0.7840,0.2160,0.0000,2.1896,0.068544
29500,0.7820,0.2180,0.0000,2.0984,0.066786
30000,0.7940,0.2060,0.0000,2.2819,0.066300
30500,0.8120,0.1880,0.0000,2.5313,0.064540
31000,0.8260,0.1740,0.0000,2.6500,0.063764
31500,0.7860,0.2140,0.0000,2.1632,0.062717
32000,0.7840,0.2160,0.0000,2.1653,0.062731
32500,0.8040,0.1960,0.0000,2.4487,0.063542
33000,0.8020,0.1980,0.0000,2.4784,0.064724
33500,0.7820,0.2180,0.0000,2.2080,0.063395
34000,0.8540,0.1440,0.0020,3.0626,0.061590
34500,0.7980,0.2020,0.0000,2.4253,0.061646
35000,0.8060,0.1940,0.0000,2.4533,0.062003
35500,0.8120,0.1880,0.0000,2.6340,0.060736
36000,0.8180,0.1820,0.0000,2.5724,0.060994
36500,0.7900,0.2080,0.0020,2.4258,0.060919
37000,0.8000,0.2000,0.0000,2.4766,0.061983
37500,0.8040,0.1960,0.0000,2.5406,0.062355
38000,0.7980,0.2020,0.0000,2.4587,0.062272
38500,0.8200,0.1780,0.0020,2.6832,0.061461
39000,0.8140,0.1860,0.0000,2.5700,0.060782
39500,0.8100,0.1900,0.0000,2.6658,0.060700
40000,0.8100,0.1900,0.0000,2.5287,0.059468
40500,0.8120,0.1880,0.0000,2.5517,0.059743
41000,0.8020,0.1980,0.0000,2.3759,0.061324
41500,0.8000,0.1980,0.0020,2.3958,0.061072
42000,0.8140,0.1860,0.0000,2.6919,0.059972
42500,0.8240,0.1760,0.0000,2.7271,0.059398
43000,0.8280,0.1720,0.0000,2.7790,0.060411
43500,0.8300,0.1700,0.0000,2.7410,0.059012
44000,0.7920,0.2080,0.0000,2.3149,0.058789
44500,0.8080,0.1920,0.0000,2.5574,0.058733
45000,0.8220,0.1780,0.0000,2.7153,0.059293
45500,0.8120,0.1880,0.0000,2.5948,0.058490
46000,0.8020,0.1980,0.0000,2.4618,0.059627
46500,0.8440,0.1560,0.0000,2.8578,0.060370
47000,0.8180,0.1820,0.0000,2.7079,0.059385
47500,0.7720,0.2280,0.0000,2.0641,0.060233
48000,0.7920,0.2080,0.0000,2.3572,0.058936
48500,0.7840,0.2160,0.0000,2.3390,0.060185
49000,0.8240,0.1760,0.0000,2.7428,0.060271
49500,0.8380,0.1620,0.0000,2.8736,0.061566
50000,0.8180,0.1820,0.0000,2.6574,0.060983
